date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-03-01,119861.51301300137,2446.948020915628,2045.1698479453573,568,396,120,168,107,34,0,0,0,0
2020-03-02,119996.78569146614,2180.4425264101337,4061.4685312440406,649,857,472,299,271,100,0,0,0,0
2020-03-03,119112.59267346522,3177.2755132431203,3711.817978252024,672,288,400,267,279,110,0,0,0,0
2020-03-04,118736.18563656736,3335.4109413541582,3026.976502517517,821,314,351,259,228,101,6,0,0,0
2020-03-05,118703.97658538897,2994.767451339138,3808.6196397724193,800,683,320,340,351,163,3,0,0,0
2020-03-06,118436.27998646423,3540.9230408476687,3597.3338554586935,1022,620,281,291,287,142,10,0,0,0
2020-03-07,118616.5940084545,3777.6478774489756,1620.2324244822628,619,213,128,118,92,33,1,0,0,0
2020-03-08,119294.742906988,2298.381323015755,1837.5362839292673,614,400,132,150,127,46,3,0,0,0
2020-03-09,119473.19133509138,2015.9847120326517,3993.543028908426,689,950,589,256,315,158,21,0,0,0
2020-03-10,118785.58917585107,3305.94086966812,3525.540100586748,877,359,582,262,362,159,20,0,0,0
2020-03-11,118631.0491940167,3371.000118752369,3879.170642458669,957,427,494,405,382,180,17,0,0,0
2020-03-12,118070.45707753536,3318.578525977328,3330.8420710300975,840,477,326,330,311,194,17,0,0,0
2020-03-13,117891.78056951963,3152.1655630143646,3607.948131636158,860,594,355,355,364,184,20,0,0,0
2020-03-14,117447.79429719412,3163.961859310661,1642.3657140537405,597,209,107,114,118,49,5,0,0,0
2020-03-15,117880.69996626057,2075.271383120185,1936.8795990521844,557,308,132,181,147,51,9,0,0,0
2020-03-16,117782.57479098073,1838.7544237723432,4543.089743979721,647,976,713,465,478,249,33,0,0,0
2020-03-17,115397.93693454147,2158.451887540459,4198.754961371025,647,363,727,569,440,324,59,0,0,0
2020-03-18,113106.5247698018,1907.3427966313682,3731.4202274774675,581,361,500,442,538,245,42,0,0,0
2020-03-19,111138.00056024423,1762.8960179198837,3564.8726084298487,527,352,320,467,532,279,51,0,0,0
2020-03-20,109140.64301735332,1567.5150655389311,3200.19079024803,552,274,267,435,505,226,40,0,0,0
2020-03-21,107354.61880779573,1414.1665806904464,1128.5296791369192,318,99,68,113,114,61,10,0,0,0
2020-03-22,107263.41176995532,1037.322641296507,1130.7735294042989,249,111,48,118,130,72,23,0,0,0
2020-03-23,106997.67371607212,865.0354755211059,3044.8801784991865,375,427,324,377,383,277,49,0,0,0
2020-03-24,105090.19134400711,1137.3978064341754,2964.8282845597923,367,141,238,333,474,345,59,0,0,0
